2013-01-01 00:02:00 , 2013-01-01 00:02:00[x=1, y=5, taxiVide=1, mediane=0.0, profit=0.0, x=1, y=1, taxiVide=0, mediane=1.0, profit=Infinity] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 1288826
2013-01-01 00:10:00 , 2013-01-01 00:26:00[x=1, y=5, taxiVide=4, mediane=10.0, profit=2.5, x=1, y=1, taxiVide=4, mediane=11.0, profit=2.75] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 30395
2013-01-01 00:12:00 , 2013-01-01 00:28:00[x=1, y=5, taxiVide=4, mediane=12.0, profit=3.0, x=1, y=1, taxiVide=4, mediane=11.0, profit=2.75] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 16184
2013-01-01 00:14:00 , 2013-01-01 00:30:00[x=1, y=5, taxiVide=4, mediane=12.0, profit=3.0, x=1, y=1, taxiVide=4, mediane=13.0, profit=3.25] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 23290
2013-01-01 00:16:00 , 2013-01-01 00:32:00[x=1, y=5, taxiVide=4, mediane=14.0, profit=3.5, x=1, y=1, taxiVide=4, mediane=13.0, profit=3.25] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 33158
2013-01-01 00:18:00 , 2013-01-01 00:34:00[x=1, y=5, taxiVide=3, mediane=14.0, profit=4.666666666666667, x=1, y=1, taxiVide=4, mediane=15.0, profit=3.75] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26053
2013-01-01 00:20:00 , 2013-01-01 00:36:00[x=1, y=5, taxiVide=3, mediane=16.0, profit=5.333333333333333, x=1, y=1, taxiVide=3, mediane=15.0, profit=5.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 25263
2013-01-01 00:22:00 , 2013-01-01 00:38:00[x=1, y=5, taxiVide=2, mediane=16.0, profit=8.0, x=1, y=1, taxiVide=3, mediane=17.0, profit=5.666666666666667] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 49342
2013-01-01 00:24:00 , 2013-01-01 00:40:00[x=1, y=5, taxiVide=2, mediane=18.0, profit=9.0, x=1, y=1, taxiVide=2, mediane=17.0, profit=8.5] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27237
2013-01-01 00:26:00 , 2013-01-01 00:42:00[x=1, y=5, taxiVide=1, mediane=18.0, profit=18.0, x=1, y=1, taxiVide=2, mediane=19.0, profit=9.5] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 41843
2013-01-01 00:28:00 , 2013-01-01 00:44:00[x=1, y=5, taxiVide=1, mediane=20.0, profit=20.0, x=1, y=1, taxiVide=1, mediane=19.0, profit=19.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26448
2013-01-01 00:30:00 , 2013-01-01 00:46:00[x=1, y=5, taxiVide=0, mediane=20.0, profit=Infinity, x=1, y=1, taxiVide=1, mediane=21.0, profit=21.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 24869
2013-01-01 00:32:00 , 2013-01-01 00:48:00[x=1, y=5, taxiVide=0, mediane=22.0, profit=Infinity, x=1, y=1, taxiVide=0, mediane=21.0, profit=Infinity] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 30790
2013-01-01 00:34:00 , 2013-01-01 00:50:00[x=1, y=5, taxiVide=-1, mediane=22.0, profit=-22.0, x=1, y=1, taxiVide=0, mediane=23.0, profit=Infinity] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 24474
2013-01-01 00:36:00 , 2013-01-01 00:52:00[x=1, y=5, taxiVide=-1, mediane=24.0, profit=-24.0, x=1, y=1, taxiVide=-1, mediane=23.0, profit=-23.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 29211
2013-01-01 00:38:00 , 2013-01-01 00:54:00[x=1, y=5, taxiVide=-2, mediane=24.0, profit=-12.0, x=1, y=1, taxiVide=-1, mediane=25.0, profit=-25.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 32764
2013-01-01 00:40:00 , 2013-01-01 00:56:00[x=1, y=5, taxiVide=-2, mediane=26.0, profit=-13.0, x=1, y=1, taxiVide=-2, mediane=25.0, profit=-12.5] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 31974
2013-01-01 00:42:00 , 2013-01-01 00:58:00[x=1, y=5, taxiVide=-3, mediane=26.0, profit=-8.666666666666666, x=1, y=1, taxiVide=-2, mediane=27.0, profit=-13.5] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 25263
2013-01-01 00:44:00 , 2013-01-01 01:00:00[x=1, y=5, taxiVide=-3, mediane=28.0, profit=-9.333333333333334, x=1, y=1, taxiVide=-3, mediane=27.0, profit=-9.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28421
2013-01-01 00:46:00 , 2013-01-01 01:02:00[x=1, y=5, taxiVide=-4, mediane=28.0, profit=-7.0, x=1, y=1, taxiVide=-3, mediane=29.0, profit=-9.666666666666666] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26053
2013-01-01 00:48:00 , 2013-01-01 01:04:00[x=1, y=5, taxiVide=-4, mediane=30.0, profit=-7.5, x=1, y=1, taxiVide=-4, mediane=29.0, profit=-7.25] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28421
2013-01-01 00:50:00 , 2013-01-01 01:06:00[x=1, y=5, taxiVide=-5, mediane=30.0, profit=-6.0, x=1, y=1, taxiVide=-4, mediane=31.0, profit=-7.75] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 25658
2013-01-01 00:52:00 , 2013-01-01 01:08:00[x=1, y=5, taxiVide=-5, mediane=32.0, profit=-6.4, x=1, y=1, taxiVide=-5, mediane=31.0, profit=-6.2] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 25263
2013-01-01 00:54:00 , 2013-01-01 01:10:00[x=1, y=5, taxiVide=-6, mediane=32.0, profit=-5.333333333333333, x=1, y=1, taxiVide=-5, mediane=33.0, profit=-6.6] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28027
2013-01-01 00:56:00 , 2013-01-01 01:12:00[x=1, y=5, taxiVide=-6, mediane=34.0, profit=-5.666666666666667, x=1, y=1, taxiVide=-6, mediane=33.0, profit=-5.5] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 25658
2013-01-01 00:58:00 , 2013-01-01 01:14:00[x=1, y=5, taxiVide=-7, mediane=34.0, profit=-4.857142857142857, x=1, y=1, taxiVide=-6, mediane=35.0, profit=-5.833333333333333] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26842
2013-01-01 01:00:00 , 2013-01-01 01:16:00[x=1, y=5, taxiVide=-7, mediane=36.0, profit=-5.142857142857143, x=1, y=1, taxiVide=-7, mediane=35.0, profit=-5.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27632
2013-01-01 01:02:00 , 2013-01-01 01:18:00[x=1, y=5, taxiVide=-8, mediane=36.0, profit=-4.5, x=1, y=1, taxiVide=-7, mediane=37.0, profit=-5.285714285714286] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28026
2013-01-01 01:04:00 , 2013-01-01 01:20:00[x=1, y=5, taxiVide=-8, mediane=38.0, profit=-4.75, x=1, y=1, taxiVide=-8, mediane=37.0, profit=-4.625] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27631
2013-01-01 01:06:00 , 2013-01-01 01:22:00[x=1, y=5, taxiVide=-9, mediane=38.0, profit=-4.222222222222222, x=1, y=1, taxiVide=-8, mediane=39.0, profit=-4.875] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 21316
2013-01-01 01:08:00 , 2013-01-01 01:24:00[x=1, y=5, taxiVide=-9, mediane=40.0, profit=-4.444444444444445, x=1, y=1, taxiVide=-9, mediane=39.0, profit=-4.333333333333333] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27237
2013-01-01 01:10:00 , 2013-01-01 01:26:00[x=1, y=5, taxiVide=-10, mediane=40.0, profit=-4.0, x=1, y=1, taxiVide=-9, mediane=41.0, profit=-4.555555555555555] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 31580
2013-01-01 01:12:00 , 2013-01-01 01:28:00[x=1, y=5, taxiVide=-10, mediane=42.0, profit=-4.2, x=1, y=1, taxiVide=-10, mediane=41.0, profit=-4.1] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 31579
2013-01-01 01:14:00 , 2013-01-01 01:30:00[x=1, y=5, taxiVide=-11, mediane=42.0, profit=-3.8181818181818183, x=1, y=1, taxiVide=-10, mediane=43.0, profit=-4.3] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27237
2013-01-01 01:16:00 , 2013-01-01 01:32:00[x=1, y=5, taxiVide=-11, mediane=44.0, profit=-4.0, x=1, y=1, taxiVide=-11, mediane=43.0, profit=-3.909090909090909] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28422
2013-01-01 01:18:00 , 2013-01-01 01:34:00[x=1, y=5, taxiVide=-12, mediane=44.0, profit=-3.6666666666666665, x=1, y=1, taxiVide=-11, mediane=45.0, profit=-4.090909090909091] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 31974
2013-01-01 01:20:00 , 2013-01-01 01:36:00[x=1, y=5, taxiVide=-12, mediane=46.0, profit=-3.8333333333333335, x=1, y=1, taxiVide=-12, mediane=45.0, profit=-3.75] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 30395
2013-01-01 01:22:00 , 2013-01-01 01:38:00[x=1, y=5, taxiVide=-13, mediane=46.0, profit=-3.5384615384615383, x=1, y=1, taxiVide=-12, mediane=47.0, profit=-3.9166666666666665] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28816
2013-01-01 01:24:00 , 2013-01-01 01:40:00[x=1, y=5, taxiVide=-13, mediane=48.0, profit=-3.6923076923076925, x=1, y=1, taxiVide=-13, mediane=47.0, profit=-3.6153846153846154] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27237
2013-01-01 01:26:00 , 2013-01-01 01:42:00[x=1, y=5, taxiVide=-14, mediane=48.0, profit=-3.4285714285714284, x=1, y=1, taxiVide=-13, mediane=49.0, profit=-3.769230769230769] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 78554
2013-01-01 01:28:00 , 2013-01-01 01:44:00[x=1, y=5, taxiVide=-14, mediane=50.0, profit=-3.5714285714285716, x=1, y=1, taxiVide=-14, mediane=49.0, profit=-3.5] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 35526
2013-01-01 01:30:00 , 2013-01-01 01:46:00[x=1, y=5, taxiVide=-15, mediane=50.0, profit=-3.3333333333333335, x=1, y=1, taxiVide=-14, mediane=51.0, profit=-3.642857142857143] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 29606
2013-01-01 01:32:00 , 2013-01-01 01:48:00[x=1, y=5, taxiVide=-15, mediane=52.0, profit=-3.466666666666667, x=1, y=1, taxiVide=-15, mediane=51.0, profit=-3.4] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 30790
2013-01-01 01:34:00 , 2013-01-01 01:50:00[x=1, y=5, taxiVide=-16, mediane=52.0, profit=-3.25, x=1, y=1, taxiVide=-15, mediane=53.0, profit=-3.533333333333333] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 30000
2013-01-01 01:36:00 , 2013-01-01 01:52:00[x=1, y=5, taxiVide=-16, mediane=54.0, profit=-3.375, x=1, y=1, taxiVide=-16, mediane=53.0, profit=-3.3125] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 30000
2013-01-01 01:38:00 , 2013-01-01 01:54:00[x=1, y=5, taxiVide=-17, mediane=54.0, profit=-3.176470588235294, x=1, y=1, taxiVide=-16, mediane=55.0, profit=-3.4375] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27237
2013-01-01 01:40:00 , 2013-01-01 01:56:00[x=1, y=5, taxiVide=-17, mediane=56.0, profit=-3.2941176470588234, x=1, y=1, taxiVide=-17, mediane=55.0, profit=-3.235294117647059] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 33158
2013-01-01 01:42:00 , 2013-01-01 01:58:00[x=1, y=5, taxiVide=-18, mediane=56.0, profit=-3.111111111111111, x=1, y=1, taxiVide=-17, mediane=57.0, profit=-3.3529411764705883] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 32763
2013-01-01 01:44:00 , 2013-01-01 02:00:00[x=1, y=5, taxiVide=-18, mediane=58.0, profit=-3.2222222222222223, x=1, y=1, taxiVide=-18, mediane=57.0, profit=-3.1666666666666665] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 32369
2013-01-01 01:46:00 , 2013-01-01 02:02:00[x=1, y=5, taxiVide=-19, mediane=58.0, profit=-3.0526315789473686, x=1, y=1, taxiVide=-18, mediane=59.0, profit=-3.2777777777777777] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26843
2013-01-01 01:48:00 , 2013-01-01 02:04:00[x=1, y=5, taxiVide=-19, mediane=60.0, profit=-3.1578947368421053, x=1, y=1, taxiVide=-19, mediane=59.0, profit=-3.1052631578947367] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 33158
2013-01-01 01:50:00 , 2013-01-01 02:06:00[x=1, y=5, taxiVide=-20, mediane=60.0, profit=-3.0, x=1, y=1, taxiVide=-19, mediane=61.0, profit=-3.210526315789474] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26843
2013-01-01 01:52:00 , 2013-01-01 02:08:00[x=1, y=5, taxiVide=-20, mediane=62.0, profit=-3.1, x=1, y=1, taxiVide=-20, mediane=61.0, profit=-3.05] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 32763
2013-01-01 01:54:00 , 2013-01-01 02:10:00[x=1, y=5, taxiVide=-21, mediane=62.0, profit=-2.9523809523809526, x=1, y=1, taxiVide=-20, mediane=63.0, profit=-3.15] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28027
2013-01-01 01:56:00 , 2013-01-01 02:12:00[x=1, y=5, taxiVide=-21, mediane=64.0, profit=-3.0476190476190474, x=1, y=1, taxiVide=-21, mediane=63.0, profit=-3.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27632
2013-01-01 01:58:00 , 2013-01-01 02:14:00[x=1, y=5, taxiVide=-22, mediane=64.0, profit=-2.909090909090909, x=1, y=1, taxiVide=-21, mediane=65.0, profit=-3.0952380952380953] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 30000
2013-01-01 02:00:00 , 2013-01-01 02:16:00[x=1, y=5, taxiVide=-22, mediane=66.0, profit=-3.0, x=1, y=1, taxiVide=-22, mediane=65.0, profit=-2.9545454545454546] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 31184
2013-01-01 02:02:00 , 2013-01-01 02:18:00[x=1, y=5, taxiVide=-23, mediane=66.0, profit=-2.869565217391304, x=1, y=1, taxiVide=-22, mediane=67.0, profit=-3.0454545454545454] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 30789
2013-01-01 02:04:00 , 2013-01-01 02:20:00[x=1, y=5, taxiVide=-23, mediane=68.0, profit=-2.9565217391304346, x=1, y=1, taxiVide=-23, mediane=67.0, profit=-2.9130434782608696] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28026
2013-01-01 02:06:00 , 2013-01-01 02:22:00[x=1, y=5, taxiVide=-24, mediane=68.0, profit=-2.8333333333333335, x=1, y=1, taxiVide=-23, mediane=69.0, profit=-3.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 29210
2013-01-01 02:08:00 , 2013-01-01 02:24:00[x=1, y=5, taxiVide=-24, mediane=70.0, profit=-2.9166666666666665, x=1, y=1, taxiVide=-24, mediane=69.0, profit=-2.875] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26843
2013-01-01 02:10:00 , 2013-01-01 02:26:00[x=1, y=5, taxiVide=-25, mediane=70.0, profit=-2.8, x=1, y=1, taxiVide=-24, mediane=71.0, profit=-2.9583333333333335] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 31974
2013-01-01 02:12:00 , 2013-01-01 02:28:00[x=1, y=5, taxiVide=-25, mediane=72.0, profit=-2.88, x=1, y=1, taxiVide=-25, mediane=71.0, profit=-2.84] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28421
2013-01-01 02:14:00 , 2013-01-01 02:30:00[x=1, y=5, taxiVide=-26, mediane=72.0, profit=-2.769230769230769, x=1, y=1, taxiVide=-25, mediane=73.0, profit=-2.92] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 135396
2013-01-01 02:16:00 , 2013-01-01 02:32:00[x=1, y=5, taxiVide=-26, mediane=74.0, profit=-2.8461538461538463, x=1, y=1, taxiVide=-26, mediane=73.0, profit=-2.8076923076923075] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28816
2013-01-01 02:18:00 , 2013-01-01 02:34:00[x=1, y=5, taxiVide=-27, mediane=74.0, profit=-2.740740740740741, x=1, y=1, taxiVide=-26, mediane=75.0, profit=-2.8846153846153846] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28027
2013-01-01 02:20:00 , 2013-01-01 02:36:00[x=1, y=5, taxiVide=-27, mediane=76.0, profit=-2.814814814814815, x=1, y=1, taxiVide=-27, mediane=75.0, profit=-2.7777777777777777] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 28421
2013-01-01 02:22:00 , 2013-01-01 02:38:00[x=1, y=5, taxiVide=-28, mediane=76.0, profit=-2.7142857142857144, x=1, y=1, taxiVide=-27, mediane=77.0, profit=-2.8518518518518516] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26842
2013-01-01 02:24:00 , 2013-01-01 02:40:00[x=1, y=5, taxiVide=-28, mediane=78.0, profit=-2.7857142857142856, x=1, y=1, taxiVide=-28, mediane=77.0, profit=-2.75] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 39869
2013-01-01 02:26:00 , 2013-01-01 02:42:00[x=1, y=5, taxiVide=-29, mediane=78.0, profit=-2.689655172413793, x=1, y=1, taxiVide=-28, mediane=79.0, profit=-2.8214285714285716] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 45001
2013-01-01 02:28:00 , 2013-01-01 02:44:00[x=1, y=5, taxiVide=-29, mediane=80.0, profit=-2.7586206896551726, x=1, y=1, taxiVide=-29, mediane=79.0, profit=-2.7241379310344827] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26447
2013-01-01 02:30:00 , 2013-01-01 02:46:00[x=1, y=5, taxiVide=-30, mediane=80.0, profit=-2.6666666666666665, x=1, y=1, taxiVide=-29, mediane=81.0, profit=-2.793103448275862] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 40658
2013-01-01 02:32:00 , 2013-01-01 02:48:00[x=1, y=5, taxiVide=-30, mediane=82.0, profit=-2.7333333333333334, x=1, y=1, taxiVide=-30, mediane=81.0, profit=-2.7] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 36711
2013-01-01 02:34:00 , 2013-01-01 02:50:00[x=1, y=5, taxiVide=-31, mediane=82.0, profit=-2.6451612903225805, x=1, y=1, taxiVide=-30, mediane=83.0, profit=-2.7666666666666666] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26448
2013-01-01 02:36:00 , 2013-01-01 02:52:00[x=1, y=5, taxiVide=-31, mediane=84.0, profit=-2.7096774193548385, x=1, y=1, taxiVide=-31, mediane=83.0, profit=-2.6774193548387095] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26842
2013-01-01 02:38:00 , 2013-01-01 02:54:00[x=1, y=5, taxiVide=-32, mediane=84.0, profit=-2.625, x=1, y=1, taxiVide=-31, mediane=85.0, profit=-2.7419354838709675] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26448
2013-01-01 02:40:00 , 2013-01-01 02:56:00[x=1, y=5, taxiVide=-32, mediane=86.0, profit=-2.6875, x=1, y=1, taxiVide=-32, mediane=85.0, profit=-2.65625] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27237
2013-01-01 02:42:00 , 2013-01-01 02:58:00[x=1, y=5, taxiVide=-33, mediane=86.0, profit=-2.606060606060606, x=1, y=1, taxiVide=-32, mediane=87.0, profit=-2.71875] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26053
2013-01-01 02:44:00 , 2013-01-01 03:00:00[x=1, y=5, taxiVide=-33, mediane=88.0, profit=-2.6666666666666665, x=1, y=1, taxiVide=-33, mediane=87.0, profit=-2.6363636363636362] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 57237
2013-01-01 02:46:00 , 2013-01-01 03:02:00[x=1, y=5, taxiVide=-34, mediane=88.0, profit=-2.588235294117647, x=1, y=1, taxiVide=-33, mediane=89.0, profit=-2.696969696969697] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 27237
2013-01-01 02:48:00 , 2013-01-01 03:04:00[x=1, y=5, taxiVide=-34, mediane=90.0, profit=-2.6470588235294117, x=1, y=1, taxiVide=-34, mediane=89.0, profit=-2.6176470588235294] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 39079
2013-01-01 02:50:00 , 2013-01-01 03:06:00[x=1, y=5, taxiVide=-35, mediane=90.0, profit=-2.5714285714285716, x=1, y=1, taxiVide=-34, mediane=91.0, profit=-2.676470588235294] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 48158
2013-01-01 02:52:00 , 2013-01-01 03:08:00[x=1, y=5, taxiVide=-35, mediane=92.0, profit=-2.6285714285714286, x=1, y=1, taxiVide=-35, mediane=91.0, profit=-2.6] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 33158
2013-01-01 02:54:00 , 2013-01-01 03:10:00[x=1, y=5, taxiVide=-36, mediane=92.0, profit=-2.5555555555555554, x=1, y=1, taxiVide=-35, mediane=93.0, profit=-2.657142857142857] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 25658
2013-01-01 02:56:00 , 2013-01-01 03:12:00[x=1, y=5, taxiVide=-36, mediane=94.0, profit=-2.611111111111111, x=1, y=1, taxiVide=-36, mediane=93.0, profit=-2.5833333333333335] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26842
2013-01-01 02:58:00 , 2013-01-01 03:14:00[x=1, y=5, taxiVide=-37, mediane=94.0, profit=-2.5405405405405403, x=1, y=1, taxiVide=-36, mediane=95.0, profit=-2.638888888888889] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 70658
2013-01-01 03:00:00 , 2013-01-01 03:16:00[x=1, y=5, taxiVide=-37, mediane=96.0, profit=-2.5945945945945947, x=1, y=1, taxiVide=-37, mediane=95.0, profit=-2.5675675675675675] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26842
2013-01-01 03:02:00 , 2013-01-01 03:18:00[x=1, y=5, taxiVide=-38, mediane=96.0, profit=-2.526315789473684, x=1, y=1, taxiVide=-37, mediane=97.0, profit=-2.6216216216216215] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 26053
2013-01-01 03:04:00 , 2013-01-01 03:20:00[x=1, y=5, taxiVide=-38, mediane=98.0, profit=-2.5789473684210527, x=1, y=1, taxiVide=-38, mediane=97.0, profit=-2.5526315789473686] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 25658
2013-01-01 03:06:00 , 2013-01-01 03:22:00[x=1, y=5, taxiVide=-39, mediane=98.0, profit=-2.5128205128205128, x=1, y=1, taxiVide=-38, mediane=99.0, profit=-2.6052631578947367] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 24474
2013-01-01 03:08:00 , 2013-01-01 03:24:00[x=1, y=5, taxiVide=-39, mediane=100.0, profit=-2.5641025641025643, x=1, y=1, taxiVide=-39, mediane=99.0, profit=-2.5384615384615383] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 25263
